n.uri,m.contractpartyid,r.haseffectivedate,r.hasexpirationdate,r.hasposition,r.hastitle,o.uri
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000407,400000000407,"""2003-11-04T00:00:00""","""2003-11-04T00:00:00""",Officer,CHIEF OPERATING OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1177
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000408,400000000408,"""2009-02-04T00:00:00""","""2010-04-29T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1404
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000408,400000000408,"""2003-11-14T00:00:00""","""2006-08-08T00:00:00""",Officer,SENIOR VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1178
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000401,400000000401,"""2008-07-07T00:00:00""","""2008-07-07T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1397
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000401,400000000401,"""2003-08-05T00:00:00""","""2003-08-05T00:00:00""",Officer,MANAGING DIRECTOR,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1171
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000402,400000000402,"""2008-09-02T00:00:00""","""2010-02-12T00:00:00""",Officer,S. ADVISOR,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1398
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000402,400000000402,"""2003-08-13T00:00:00""","""2016-05-23T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1172
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000400,400000000400,"""2008-06-26T00:00:00""","""2009-05-11T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1396
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000400,400000000400,"""2003-07-21T00:00:00""","""2015-06-22T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1170
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000405,400000000405,"""2008-12-19T00:00:00""","""2016-03-15T00:00:00""",Officer,CHIEF EXECUTIVE OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1401
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000405,400000000405,"""2003-10-01T00:00:00""","""2005-05-13T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1175
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000406,400000000406,"""2008-12-29T00:00:00""","""2008-12-29T00:00:00""",Officer,GENERAL COUNSEL,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1402
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000406,400000000406,"""2003-10-01T00:00:00""","""2003-10-01T00:00:00""",Officer,CHIEF ACCOUNTING OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1176
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000403,400000000403,"""2008-09-05T00:00:00""","""2016-05-31T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1399
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000403,400000000403,"""2003-08-29T00:00:00""","""2003-08-29T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1173
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000404,400000000404,"""2008-12-01T00:00:00""","""2010-02-25T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1400
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000404,400000000404,"""2003-09-16T00:00:00""","""2003-09-16T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1174
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000179,400000000179,"""2007-07-24T00:00:00""","""2010-11-03T00:00:00""",Officer,CHIEF UNDERWRITING OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3270
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000179,400000000179,"""2009-02-04T00:00:00""","""2009-11-16T00:00:00""",Officer,CHIEF EXECUTIVE OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1175
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000173,400000000173,"""2006-12-14T00:00:00""","""2007-11-07T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3264
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000173,400000000173,"""2008-06-23T00:00:00""","""2009-12-15T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1169
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000174,400000000174,"""2007-01-02T00:00:00""","""2008-06-30T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3265
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000174,400000000174,"""2008-08-26T00:00:00""","""2008-08-26T00:00:00""",Officer,CHIEF OPERATING OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1170
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000172,400000000172,"""2006-11-15T00:00:00""","""2007-11-05T00:00:00""",Officer,GENERAL COUNSEL,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3263
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000172,400000000172,"""2008-04-23T00:00:00""","""2016-01-31T00:00:00""",Officer,COMPLIANCE OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1168
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000177,400000000177,"""2007-06-06T00:00:00""","""2007-06-06T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3268
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000177,400000000177,"""2008-12-31T00:00:00""","""2013-01-18T00:00:00""",Officer,GENERAL COUNSEL,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1173
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000178,400000000178,"""2007-07-18T00:00:00""","""2007-12-07T00:00:00""",Officer,CIO,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3269
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000178,400000000178,"""2009-01-01T00:00:00""","""2013-02-27T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1174
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000175,400000000175,"""2007-01-26T00:00:00""","""2016-05-23T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3266
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000175,400000000175,"""2008-10-14T00:00:00""","""2008-10-14T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1171
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000176,400000000176,"""2007-03-01T00:00:00""","""2008-03-25T00:00:00""",Officer,SENIOR VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3267
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000176,400000000176,"""2008-10-31T00:00:00""","""2008-12-29T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1172
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000184,400000000184,"""2007-12-31T00:00:00""","""2010-12-29T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3275
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000184,400000000184,"""2009-04-17T00:00:00""","""2010-12-31T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1180
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000185,400000000185,"""2008-01-21T00:00:00""","""2011-07-01T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3276
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000185,400000000185,"""2009-04-22T00:00:00""","""2009-04-22T00:00:00""",Officer,SECRETARY,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1181
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000182,400000000182,"""2007-11-15T00:00:00""","""2015-03-04T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3273
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000182,400000000182,"""2009-03-12T00:00:00""","""2016-12-31T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1178
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000183,400000000183,"""2007-12-14T00:00:00""","""2013-02-20T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3274
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000183,400000000183,"""2009-03-18T00:00:00""","""2010-03-17T00:00:00""",Officer,CHIEF ADMINISTRATIVE OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1179
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000180,400000000180,"""2007-08-01T00:00:00""","""2011-04-01T00:00:00""",Officer,GENERAL COUNSEL,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3271
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000180,400000000180,"""2009-02-11T00:00:00""","""2009-02-11T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1176
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000181,400000000181,"""2007-10-22T00:00:00""","""2008-11-18T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3272
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000181,400000000181,"""2009-02-12T00:00:00""","""2010-08-24T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1177
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000399,400000000399,"""2008-05-31T00:00:00""","""2010-10-21T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1395
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000399,400000000399,"""2003-07-17T00:00:00""","""2009-06-17T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1169
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000398,400000000398,"""2008-02-07T00:00:00""","""2010-12-31T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1394
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000398,400000000398,"""2003-07-10T00:00:00""","""2003-07-10T00:00:00""",Officer,EXEC.OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1168
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000412,400000000412,"""2009-09-17T00:00:00""","""2010-09-17T00:00:00""",Officer,SECRETARY,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1408
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000412,400000000412,"""2003-12-03T00:00:00""","""2003-12-03T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1182
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000413,400000000413,"""2009-12-11T00:00:00""","""2011-12-08T00:00:00""",Officer,VICE CHAIRMAN,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1409
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000413,400000000413,"""2003-12-08T00:00:00""","""2003-12-08T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1183
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000416,400000000416,"""2010-03-02T00:00:00""","""2016-11-10T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1412
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000416,400000000416,"""2003-12-31T00:00:00""","""2006-12-31T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1186
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000417,400000000417,"""2010-05-19T00:00:00""","""2011-02-17T00:00:00""",Officer,SENIOR VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1413
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000417,400000000417,"""2004-01-02T00:00:00""","""2005-04-01T00:00:00""",Officer,CHIEF ACCOUNTING,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1187
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000414,400000000414,"""2010-01-04T00:00:00""","""2010-02-04T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1410
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000414,400000000414,"""2003-12-16T00:00:00""","""2006-01-19T00:00:00""",Officer,CHIEF EXECUTIVE OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1184
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000415,400000000415,"""2010-02-10T00:00:00""","""2011-09-08T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1411
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000415,400000000415,"""2003-12-17T00:00:00""","""2003-12-17T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1185
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000423,400000000423,"""2011-02-22T00:00:00""","""2016-06-21T00:00:00""",Officer,CHIEF TECHNOLOGY OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1419
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000423,400000000423,"""2004-02-04T00:00:00""","""2004-03-31T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1193
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000424,400000000424,"""2011-02-22T00:00:00""","""2011-05-11T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1420
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000424,400000000424,"""2004-02-09T00:00:00""","""2007-11-14T00:00:00""",Officer,CHAIRMAN,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1194
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000421,400000000421,"""2010-11-01T00:00:00""","""2010-11-01T00:00:00""",Officer,CHIEF EXECUTIVE OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1417
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000421,400000000421,"""2004-01-28T00:00:00""","""2005-11-30T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1191
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000422,400000000422,"""2011-01-25T00:00:00""","""2011-01-25T00:00:00""",Officer,CONTROLLER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1418
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000422,400000000422,"""2004-02-03T00:00:00""","""2006-04-28T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1192
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000425,400000000425,"""2011-03-01T00:00:00""","""2012-03-05T00:00:00""",Officer,CHIEF INFORMATION OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1421
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000425,400000000425,"""2004-02-11T00:00:00""","""2004-02-11T00:00:00""",Officer,SENIOR VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1195
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000426,400000000426,"""2011-03-01T00:00:00""","""2011-05-13T00:00:00""",Officer,SENIOR VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1422
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000426,400000000426,"""2004-02-20T00:00:00""","""2011-03-15T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1196
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000420,400000000420,"""2010-10-26T00:00:00""","""2010-10-26T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1416
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000420,400000000420,"""2004-01-28T00:00:00""","""2013-12-03T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1190
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000418,400000000418,"""2010-10-01T00:00:00""","""2012-10-05T00:00:00""",Officer,SECRETARY,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1414
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000418,400000000418,"""2004-01-05T00:00:00""","""2004-01-05T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1188
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000419,400000000419,"""2010-10-20T00:00:00""","""2012-10-21T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1415
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000419,400000000419,"""2004-01-20T00:00:00""","""2006-06-09T00:00:00""",Officer,CHAIRMAN,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1189
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000195,400000000195,"""2009-02-10T00:00:00""","""2016-10-10T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3286
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000195,400000000195,"""2010-05-01T00:00:00""","""2010-05-01T00:00:00""",Officer,INTERIM CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1191
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000196,400000000196,"""2009-02-17T00:00:00""","""2016-04-06T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3287
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000196,400000000196,"""2010-05-14T00:00:00""","""2015-03-15T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1192
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000193,400000000193,"""2008-12-31T00:00:00""","""2008-12-31T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3284
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000193,400000000193,"""2010-02-09T00:00:00""","""2011-06-15T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1189
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000194,400000000194,"""2009-02-08T00:00:00""","""2009-02-08T00:00:00""",Officer,COUNSEL,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3285
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000194,400000000194,"""2010-03-10T00:00:00""","""2016-01-13T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1190
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000199,400000000199,"""2009-07-08T00:00:00""","""2012-04-30T00:00:00""",Officer,SENIOR VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3290
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000199,400000000199,"""2010-07-23T00:00:00""","""2016-12-31T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1195
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000197,400000000197,"""2009-02-28T00:00:00""","""2009-02-28T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3288
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000197,400000000197,"""2010-05-25T00:00:00""","""2015-08-03T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1193
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000198,400000000198,"""2009-04-01T00:00:00""","""2013-08-08T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3289
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000198,400000000198,"""2010-07-14T00:00:00""","""2014-04-30T00:00:00""",Officer,CO-CHAIRMAN,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1194
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000191,400000000191,"""2008-09-24T00:00:00""","""2015-02-17T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3282
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000191,400000000191,"""2009-12-31T00:00:00""","""2011-08-13T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1187
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000192,400000000192,"""2008-11-10T00:00:00""","""2008-11-10T00:00:00""",Officer,SECRETARY,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3283
